"key","message","comment","context"
"Templates","Mẫu",,
"Test this creator","Kiểm tra người tạo này",,
"The client Partner is required and must be the same for all sale orders","Đối tác khách hàng được yêu cầu và phải giống nhau cho tất cả các đơn đặt hàng bán hàng",,
"The company %s doesn't have any configured sequence for sale orders","Công ty %s không có bất kỳ trình tự được định cấu hình nào cho đơn đặt hàng",,
"The company is required and must be the same for all sale orders","Công ty được yêu cầu và phải giống nhau cho tất cả các đơn đặt hàng",,
"The currency is required and must be the same for all sale orders","Tiền tệ được yêu cầu và phải giống nhau cho tất cả các đơn đặt  hàng",,
"The field %s is of type %s, but the configured script returned value is of type %s.","Trường %s là loại %s, nhưng giá trị trả về tập lệnh được cấu hình là loại %s.",,
"The fiscal position must be the same for all sale orders","Vị trí tài chính phải giống nhau cho tất cả các đơn đặt hàng",,
"The sale order was canceled","Đơn đặt hàng đã bị hủy",,
"The script must be written in","Kịch bản phải được viết trong",,
"The syntax of the script is correct.","Cú pháp của tập lệnh là chính xác.",,
"The tax number must be the same for all sale orders","Số thuế phải giống nhau cho tất cả các đơn đặt hàng",,
"The total amount of quotation is zero. Do you want to proceed ?","Tổng số lượng báo giá bằng không. Bạn có muốn tiếp tục ?",,
"The width can be specified as percentage or fixed value.The fix width can be either in 'px' or 'em', 'px' is assumed if not specified.","Chiều rộng có thể được chỉ định là tỷ lệ phần trăm hoặc giá trị cố định. Chiều rộng sửa chữa có thể nằm trong 'px' hoặc 'em', 'px' được giả định nếu không được chỉ định.",,
"There are lines with a discount superior to the maximal authorized discount.","Có những dòng với chiết khấu vượt trội so với chiết khấu được ủy quyền tối đa.",,
"This Year To Date","Đầu năm cho đến nay",,
"This sale order is completed.","Đơn đặt hàng đã hoàn thành",,
"This script has errors, please see server logs for more details.","Tập lệnh này có lỗi, vui lòng xem nhật ký máy chủ để biết thêm chi tiết.",,
"This script returned value is of type %s, it should return a value of type %s instead.","Giá trị trả về tập lệnh này là loại %s, nó sẽ trả về giá trị loại %s thay thế.",,
"Timetable","Thời gian biểu",,
"Title","Tiêu đề",,
"To Date","Cho đến nay",,
"Tools","Công cụ",,
"Total A.T.I.","Tổng đã bao gồm thuế",,
"Total A.T.I. in company currency","Tổng đã bao gồm thuế bằng tiền của công ty",,
"Total V.A.T.","Tổng V.A.T.",,
"Total W.T.","Tổng chưa thuế",,
"Total W.T. in company currency","Tổng chưa thuế bằng tiền của công ty",,
"Total cost in company currency","Tổng chi phí bằng tiền tệ của công ty",,
"Total cost price","Tổng giá chi phí",,
"Total order amount per salesman","Tổng số tiền đặt hàng cho mỗi nhân viên bán hàng",,
"Total price","Tổng giá",,
"Total quantity sold","Tổng số lượng được bán",,
"Total stock","Tổng số cổ phần",,
"Total tax","Tổng số thuế",,
"Trading name","Tên giao dịch",,
"TurnOver","Doanh số",,
"Turnover","Doanh số",,
"Turnover (excl. Tax) per team","Doanh thu (Trước thuế) cho mỗi đội",,
"Turnover Study","Nghiên cứu doanh thu",,
"Turnover per customer category","Doanh thu trên mỗi danh mục khách hàng",,
"Turnover per customer sector","Doanh thu trên mỗi khu vực khách hàng",,
"Turnover per customer type","Doanh thu cho mỗi loại khách hàng",,
"Turnover per month per salesman","Doanh thu mỗi tháng cho mỗi nhân viên bán hàng",,
"Type","Loại",,
"Type of project's elements generated","Loại yếu tố của dự án được tạo ra",,
"Unit","Đơn vị",,
"Unit cost price in company currency","Đơn vị giá chi phí bằng tiền tệ của công ty",,
"Unit price A.T.I.","Đơn giá đã bao gồm thuế",,
"Unit price W.T.","Đơn giá chưa thuế",,
"Unit price discounted","Đơn giá chiết khấu",,
"Unrenewed","Chưa hủy bỏ",,
"Unselect this optional complementary product","Bỏ chọn sản phẩm bổ sung tùy chọn này",,
"Update customer's accepted credit","Cập nhật tín dụng được chấp nhận của khách hàng",,
"Update from","Cập nhật từ",,
"Update from configurator","Cập nhật từ Cấu hình",,
"Update from product","Cập nhật từ sản phẩm",,
"Update lines with selected project","Cập nhật các dòng với dự án đã chọn",,
"User assigned to customer","Người dùng được chỉ định cho khách hàng",,
"User to fill saleman","Người dùng để điền vào nhân viên bán hàng",,
"Validate and generate the line","Xác nhận và tạo dòng",,
"Validate changes","Xác nhận thay đổi",,
"Validated","Xác nhận",,
"Validity duration","Thời lượng hợp lệ",,
"Validity duration per default","Thời lượng hợp lệ cho mỗi mặc định",,
"Value","Giá trị",,
"Version Number","Số phiên bản",,
"WT","WT",,
"Warning, a completed order can't be changed anymore, do you want to continue?","Cảnh báo, một đơn đặt hàng đã hoàn thành không thể thay đổi nữa, bạn có muốn tiếp tục không?",,
"Watch out, a sale order was already created with this external reference.","Coi chừng, một đơn đặt hàng đã được tạo ra với tài liệu tham khảo bên ngoài này.",,
"Widget Attributes","Thuộc tính widget",,
"Word","Từ",,
"Workshop","Xưởng",,
"Year","Năm",,
"Year 1 To Date","Năm 1 đến ngày",,
"Year 2 To Date","Năm 2 đến nay",,
"Yearly","Hàng năm",,
"You are using a product for which the '%s' pricing should be applied.</br>However, it could not be applied.</br>Please check your pricing if this does not seem normal.","Bạn đang sử dụng một sản phẩm mà giá '%s' nên được áp dụng. </br> Tuy nhiên, nó không thể được áp dụng. </br> Vui lòng kiểm tra giá của bạn nếu điều này có vẻ không bình thường.",,
"You have to choose at least one sale order","Bạn phải chọn ít nhất một đơn đặt hàng",,
"You have to choose at least one sale quotation","Bạn phải chọn ít nhất một bảng báo giá",,
"You must configure a script to fill the created product code.","Bạn phải cấu hình một tập lệnh để điền vào mã sản phẩm đã tạo.",,
"You must configure a script to fill the created product name.","Bạn phải cấu hình một tập lệnh để điền vào tên sản phẩm đã tạo.",,
"You must configure a script to fill the product name in the created sale order line.","Bạn phải cấu hình một tập lệnh để điền tên sản phẩm trong dòng thứ tự bán được tạo.",,
"copy","Sao chép",,
"gives access to a repository with the same syntax as the repositories in java","Cho phép truy cập vào kho lưu trữ có cùng cú pháp với kho lưu trữ trong Java",,
"gives access to connected user.","Cung cấp quyền truy cập cho người dùng được kết nối.",,
"gives access to the id of parent sale order (when adding a sale order line with this configurator)","cung cấp quyền truy cập vào ID của đơn đặt hàng bán cha mẹ (khi thêm dòng đơn đặt hàng với trình cấu hình này)",,
"gives access to today date and","Cho phép truy cập vào ngày hôm nay và",,
"important","Quan trọng",,
"info","Thông tin",,
"is used for concatenation","Được sử dụng để nối",,
"saleOrder.scheduleEvent","Saleorder.ScheduleEvent",,
"searching Partners that are suppliers and with a name starting with â€œAâ€�","Đối tác tìm kiếm là nhà cung cấp và với một cái tên bắt đầu bằng """,,
"searching for Product with id = 1:","Tìm kiếm sản phẩm có ID = 1:",,
"searching for ProductFamily with the code â€˜SERVâ€™","Tìm kiếm sản phẩm của Family với mã - ˜ servâ € ™",,
"success","Thành công",,
"to current date time.","Đến thời điểm hiện tại.",,
"value:Sale","Giá trị: Bán",,
"warning","cảnh báo",,
"{{ company.name }}","{{ company.name }}",,
"{{ stockLocation.name }}","{{ stockLocation.name }}",,
"{{ tradingName.name }}","{{ tradingName.name }}",,
